Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,5 lb bag,262,5.07,3.99,5.99,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,per pound,47,1.19,0.99,1.49,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,Y,,3 lb bag,24,4.99,4.99,4.99,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND WHITE,,,5 lb bag,143,3.28,2,3.99,50
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,5 lb bag,547,2.83,1.99,4.99,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,per pound,84,1.64,1.49,1.69,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,Y,,3 lb bag,24,4.99,4.99,4.99,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,5 lb bag,11,3.99,3.99,3.99,
9/1/2023,NORTHEAST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,Y,,3 lb bag,260,5.72,4.99,5.99,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,3 lb bag,53,2.88,2.88,2.88,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,5 lb bag,1001,3.99,3.88,4.29,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,per pound,9,1.29,1.29,1.29,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,Y,,5 lb bag,34,6.99,6.99,6.99,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,ROUND WHITE,,,5 lb bag,17,2.29,2.29,2.29,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,10 lb bag,105,4.92,3.88,5.99,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,5 lb bag,604,2.82,1.99,3.99,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,per pound,41,0.94,0.75,1.18,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,Y,,5 lb bag,34,6.99,6.99,6.99,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,3 lb bag,53,2.88,2.88,2.88,
9/1/2023,SOUTHEAST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,per pound,9,1.29,1.29,1.29,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,3 lb bag,50,2.39,1.99,2.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,5 lb bag,611,4.36,2.99,5.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,per pound,16,0.64,0.38,0.89,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,ROUND WHITE,,,5 lb bag,10,4.99,4.99,4.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,5 lb bag,501,2.91,1.99,3.95,8
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,8 lb bag,14,3.99,3.99,3.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,per pound,73,1.21,0.99,1.49,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,3 lb bag,120,2.01,0.99,2.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,5 lb bag,286,3.97,2.99,4.99,
9/1/2023,MIDWEST U.S.,ONIONS AND POTATOES,POTATOES,YELLOW TYPE,,,per pound,8,0.48,0.48,0.48,
9/1/2023,SOUTH CENTRAL U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,5 lb bag,163,3.5,3.5,3.5,
9/1/2023,SOUTH CENTRAL U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,10 lb bag,63,4.48,3.97,5.99,
9/1/2023,SOUTH CENTRAL U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,5 lb bag,489,2.97,1.99,3.95,
9/1/2023,SOUTH CENTRAL U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,per pound,212,1.02,0.78,1.39,
9/1/2023,SOUTHWEST U.S.,ONIONS AND POTATOES,POTATOES,ROUND RED,,,per pound,107,0.83,0.79,0.88,
9/1/2023,SOUTHWEST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,10 lb bag,113,4.05,3,5.49,
9/1/2023,SOUTHWEST U.S.,ONIONS AND POTATOES,POTATOES,RUSSET,,,5 lb bag,107,2.98,2.95,2.99,
