State,AreaPlanted2021,AreaPlanted2022,AreaPlanted2023,AreaHarvested2021,AreaHarvested2022,AreaHarvested2023,Yield2021,Yield2022,Yield2023,Production2021,Production2022,Production2023,ProductionCWT2021,TotalSeed2021,SeedFeed2021,ShrinkLoss2021,Sold2021,PriceCWT2021,ProductionValue2021,SalesValue2021,ProductionCWT2022,TotalSeed2022,SeedFeed2022,ShrinkLoss2022,Sold2022,PriceCWT2022,ProductionValue2022,SalesValue2022,ProductionCWT2023,TotalSeed2023,SeedFeed2023,ShrinkLoss2023,Sold2023,PriceCWT2023,ProductionValue2023,SalesValue2023
California,26.0,21.0,23.0,25.4,20.9,22.8,435,405,435,11049,8465,9918,11049,710,1,253,10795,24.90,275120,268289,8465,,,,8296,28.00,237020,232699,9918,,,,9689,35.10,348122,339901
Colorado,53.0,53.0,55.0,52.4,52.9,54.8,410,405,385,21484,21425,21098,21484,1431,727,1529,19228,11.40,244918,219911,21425,1485,826,1553,19046,17.70,379223,337982,21098,1458,581,1697,18820,9.24,194946,173960
Florida,21.0,20.0,20.0,20.0,19.7,19.8,270,255,300,5400,5025,5940,5400,5400,,,,5298,18.20,98280,96328,5024,,,,4989,22.10,111030,110348,5940,,,,5928,19.90,118206,118106
Idaho,315.0,295.0,330.0,314.5,294.5,329.5,420,410,435,132090,120745,143333,132090,7279,894,8220,122976,8.46,1117481,1040123,120745,8250,953,6895,112897,12.50,1509313,1405828,143333,8125,3151,9606,130576,9.63,1380297,1257533
Maine,54.0,52.0,53.0,53.3,51.9,52.5,345,355,320,18389,18425,16800,18389,1200,206,1008,17175,11.70,215151,201555,18425,1060,57,994,17374,13.40,246895,232240,16800,1071,132,1800,14868,14.20,238560,211476
Michigan,50.0,51.0,50.0,49.0,50.5,49.0,430,415,440,21070,209658,21560,21070,1113,283,981,19806,13.10,276017,259007,20958,1076,260,976,19722,13.90,291316,273243,21560,1267,286,1525,19749,13.30,286748,262341
Minnesota,42.0,47.0,46.0,41.3,46.7,45.7,425,410,415,17553,19147,18966,17553,820,97,728,16728,10.70,187817,178490,19147,945,132,883,18132,12.40,237423,225166,18966,975,93,931,17942,14.10,267421,253171
Nebraska,19.0,20.0,22.0,18.9,19.9,21.9,490,485,490,9261,9652,10731,9261,620,230,696,8335,11.80,109280,98270,651,244,9632,625,8783,12.80,132546,112391,10731,662,260,738,9733,13.10140576,127172
North Dakota,76.0,74.0,76.0,75.0,72.5,75.5,300,300,350,22500,21750,26425,22500,1460,87,1329,21084,11.50,258750,243433,21750,1558,79,1226,20445,12.90,280575,263558,26425,1665,103,1720,24602,15.30,404303,375645
Oregon,45.0,44.0,43.0,44.8,44.0,43.0,600,600,620,26880,26400,26660,26880,1084,441,1682,24757,9.02,242458,223213,26400,1040,501,1638,24261,10.30,271920,250439,26660,1071,496,1690,2474,11.60,309256,284143
Texas,15.0,15.0,15.0,14.0,14.7,14.6,460,575,460,6440,8453,6716,6440,,,,6189,14.70,94668,90864,8453,,,,8133,15.00,126795,121663,6716,,,,6494,15.60,104770,101302
Washington,155.0,165.0,165.0,154.5,164.5,164.5,595,580,630,91928,95410,103635,91928,4142,275,5700,85953,7.75,712442,666473,95410,4016,191,5820,89399,9.88,942651,883176,103635,3780,346,6390,96899,11.20,1160712,1087828
Wisconsin,68.0,66.0,68.0,66.5,65.5,67.5,430,400,420,28595,26200,28350,28595,1599,289,1112,27194,13.00,371735,353632,85410,26200,1584,278,1006,24916,15.60,408720,388528,28350,1595,295,1547,26508,15.50,439325,410663
United States,939.0,923.0,966.0,929.6,918.2,961.1,444,438,458,412639,402054,440132,412639,22158,3579,23542,385518,10.20,4204117,3939588,402054,23048,3529,22132,376393,12.90,5166427,4837261,440132,23202,5830,28020,406282,12.30,5393242,5003241
