Entity,Code,Year,"GHG emissions per kilogram (Poore & Nemecek, 2018)",time
Bananas,,2010,0.86,2010
Beef (beef herd),,2010,99.48,2010
Beef (dairy herd),,2010,33.3,2010
Cheese,,2010,23.88,2010
Eggs,,2010,4.67,2010
Lamb & Mutton,,2010,39.72,2010
Maize,,2010,1.7,2010
Milk,,2010,3.15,2010
Nuts,,2010,0.43,2010
Peas,,2010,0.98,2010
Pig Meat,,2010,12.31,2010
Potatoes,,2010,0.46,2010
Poultry Meat,,2010,9.87,2010
Prawns (farmed),,2010,26.87,2010
Rice,,2010,4.45,2010
Tomatoes,,2010,2.09,2010
Wheat & Rye,,2010,1.57,2010
